Linux 6.17.0-20-generic (ubuntu) 	21.04.2026 	_x86_64_	(4 CPU)

09:09:49        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
09:09:59           lo      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:09:59       enp0s3      1,10      1,00      0,16      0,11      0,00      0,00      0,00      0,00
09:10:09           lo      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:09       enp0s3      1,80      2,40      0,12      2,91      0,00      0,00      0,00      0,00
09:10:19           lo      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:19       enp0s3      2,10      2,70      0,14      3,61      0,00      0,00      0,00      0,00
09:10:29           lo      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:29       enp0s3      1,40      1,90      0,09      2,73      0,00      0,00      0,00      0,00
09:10:39           lo      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:39       enp0s3      1,00      1,80      0,07      2,28      0,00      0,00      0,00      0,00
09:10:49           lo      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:49       enp0s3      1,60      2,70      0,11      2,85      0,00      0,00      0,00      0,00
09:10:59           lo      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:10:59       enp0s3      1,10      1,80      0,08      2,21      0,00      0,00      0,00      0,00
09:11:09           lo      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:11:09       enp0s3      1,70      1,90      0,11      2,22      0,00      0,00      0,00      0,00
09:11:19           lo      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:11:19       enp0s3      1,60      1,60      0,10      2,21      0,00      0,00      0,00      0,00
09:11:29           lo      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:11:29       enp0s3      1,50      3,70      0,10      4,71      0,00      0,00      0,10      0,00
09:11:39           lo      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:11:39       enp0s3      1,20      2,10      0,08      2,70      0,00      0,00      0,00      0,00
09:11:49           lo      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:11:49       enp0s3      0,90      2,40      0,06      3,18      0,00      0,00      0,00      0,00
09:11:59           lo      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:11:59       enp0s3      1,50      2,90      0,11      4,03      0,00      0,00      0,00      0,00
09:12:09           lo      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:09       enp0s3      1,40      2,00      0,09      2,22      0,00      0,00      0,00      0,00
09:12:19           lo      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:19       enp0s3      2,00      2,20      0,39      3,03      0,00      0,00      1,10      0,00
09:12:29           lo      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:29       enp0s3      0,90      2,10      0,12      2,95      0,00      0,00      0,20      0,00
09:12:39           lo      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:39       enp0s3      1,00      2,00      0,07      2,74      0,00      0,00      0,10      0,00
09:12:49           lo      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:49       enp0s3      0,70      1,60      0,05      2,21      0,00      0,00      0,00      0,00
09:12:59           lo      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:59       enp0s3      1,30      1,80      0,10      2,47      0,00      0,00      0,10      0,00
09:13:09           lo      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:09       enp0s3      1,40      2,00      0,11      2,63      0,00      0,00      0,00      0,00
09:13:19           lo      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:19       enp0s3      2,70      2,10      0,52      2,38      0,00      0,00      2,00      0,00
09:13:29           lo      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:29       enp0s3      1,60      2,00      0,28      2,25      0,00      0,00      0,60      0,00
09:13:39           lo      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:39       enp0s3      1,40      2,00      0,12      2,67      0,00      0,00      0,20      0,00
09:13:49           lo      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:49       enp0s3      1,20      1,90      0,08      2,60      0,00      0,00      0,00      0,00
09:13:59           lo      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:59       enp0s3      0,90      2,20      0,06      2,99      0,00      0,00      0,00      0,00
09:14:09           lo      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:14:09       enp0s3      0,80      1,60      0,05      2,22      0,00      0,00      0,00      0,00
09:14:19           lo      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:14:19       enp0s3      0,70      1,70      0,05      2,19      0,00      0,00      0,00      0,00
09:14:29           lo      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:14:29       enp0s3      0,70      1,90      0,05      2,26      0,00      0,00      0,00      0,00
09:14:39           lo      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:14:39       enp0s3      0,80      2,20      0,05      2,81      0,00      0,00      0,00      0,00
09:14:49           lo      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:14:49       enp0s3      0,90      1,80      0,06      2,20      0,00      0,00      0,00      0,00
09:14:59           lo      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
